用户号码,开始时间,开始基站,开始基站经度,开始基站纬度,结束时间,结束基站,结束基站经度,结束基站纬度,停留时间
b139dd99-110a-4684-be6d-52ef30b16b61,20180827000000,160959640,118.7504205,32.05978,20180827000007,230457099,118.75071,32.06257,7
b139dd99-110a-4684-be6d-52ef30b16b61,20180827000007,230457099,118.75071,32.06257,20180827000030,220429066,0,0,23
2a34c467-265d-43ce-8be6-4faf535206a6,20180827000000,230809346,118.75126,32.06191,20180827004117,230809386,118.75126,32.06191,2477
2a34c467-265d-43ce-8be6-4faf535206a6,20180827004133,230825488,0,0,20180827004136,230809350,118.75126,32.06191,3
2a34c467-265d-43ce-8be6-4faf535206a6,20180827004136,230809350,118.75126,32.06191,20180827004137,230825488,0,0,1
2a34c467-265d-43ce-8be6-4faf535206a6,20180827004451,230825488,0,0,20180827004813,230809346,118.75126,32.06191,202
2a34c467-265d-43ce-8be6-4faf535206a6,20180827004813,230809346,118.75126,32.06191,20180827014224,84297986,118.74621,32.06161,3251
2a34c467-265d-43ce-8be6-4faf535206a6,20180827024226,230825488,0,0,20180827054817,230809350,118.75126,32.06191,11151
2a34c467-265d-43ce-8be6-4faf535206a6,20180827054817,230809350,118.75126,32.06191,20180827064819,230825488,0,0,3602
2a34c467-265d-43ce-8be6-4faf535206a6,20180827064819,230825488,0,0,20180827071518,230825476,118.748776,32.06107,1619
2a34c467-265d-43ce-8be6-4faf535206a6,20180827071518,230825476,118.748776,32.06107,20180827071624,230809360,0,0,66
2a34c467-265d-43ce-8be6-4faf535206a6,20180827071635,230825488,0,0,20180827071820,230825478,118.748776,32.06107,105
2a34c467-265d-43ce-8be6-4faf535206a6,20180827071820,230825478,118.748776,32.06107,20180827071843,83967755,0,0,23
2a34c467-265d-43ce-8be6-4faf535206a6,20180827071935,84297987,118.74621,32.06161,20180827071940,230825478,118.748776,32.06107,5
2a34c467-265d-43ce-8be6-4faf535206a6,20180827071940,230825478,118.748776,32.06107,20180827071950,84628748,0,0,10
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827101736,84851204,118.764648,32.035328,20180827101739,220219669,118.75063,32.06188,3
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827101739,220219669,118.75063,32.06188,20180827101827,230811397,118.76201,32.04263,48
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827102656,220653067,118.75181,32.05342,20180827102752,160959643,118.75013,32.05974,56
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827102752,160959643,118.75013,32.05974,20180827102815,230457099,118.75071,32.06257,23
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827102815,230457099,118.75071,32.06257,20180827103020,230809359,0,0,125
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827103020,230809359,0,0,20180827103245,230809360,0,0,145
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827103245,230809360,0,0,20180827103257,230825476,118.748776,32.06107,12
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827103257,230825476,118.748776,32.06107,20180827103311,84863495,118.74615,32.06169,14
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827103311,84863495,118.74615,32.06169,20180827103351,230813454,0,0,40
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827104759,230813444,118.758735,32.061606,20180827104845,230825476,118.748776,32.06107,46
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827104845,230825476,118.748776,32.06107,20180827104925,230809360,0,0,40
05c9c17e-e983-4b6f-a083-9effd94007c0,20180827105038,230809386,118.75126,32.06191,20180827105247,84864005,118.7393001,32.06096,129
